date,country,confirmed_cases,deaths,recovered
2023-01-01,United States,8236,4034,1713
2023-01-01,China,122,5,87
2023-01-01,India,7396,2569,111
2023-01-01,Brazil,3941,1293,2484
2023-01-01,Russia,4961,3666,575
2023-01-01,France,9032,2267,348
2023-01-01,United Kingdom,1610,914,485
2023-01-01,Italy,8546,8147,179
2023-01-01,Spain,2034,108,10
2023-01-01,Canada,311,83,45
2023-01-01,Germany,1434,1246,73
2023-01-01,Australia,4895,2031,584
2023-01-01,Japan,6798,6296,96
2023-01-01,South Korea,3785,2885,146
2023-01-01,Mexico,5784,1893,2415
2023-01-01,Indonesia,728,337,118
2023-01-01,Nigeria,650,9,386
2023-01-01,South Africa,1492,1251,220
2023-01-01,Argentina,1647,653,270
2023-01-01,Saudi Arabia,3178,1205,767
2023-01-02,United States,3981,81,828
2023-01-02,China,4974,498,676
2023-01-02,India,3061,1764,387
2023-01-02,Brazil,3080,2588,300
2023-01-02,Russia,9562,4850,4449
2023-01-02,France,8460,1908,2115
2023-01-02,United Kingdom,6784,2906,2727
2023-01-02,Italy,9716,2946,5333
2023-01-02,Spain,5856,1304,1513
2023-01-02,Canada,5721,4321,171
2023-01-02,Germany,5420,5215,112
2023-01-02,Australia,2459,2387,37
2023-01-02,Japan,1907,32,1495
2023-01-02,South Korea,5433,49,3025
2023-01-02,Mexico,4128,2862,79
2023-01-02,Indonesia,6508,2801,2733
2023-01-02,Nigeria,1357,606,648
2023-01-02,South Africa,8833,4821,3638
2023-01-02,Argentina,8411,7402,741
2023-01-02,Saudi Arabia,6083,2864,1030
2023-01-03,United States,9411,7807,121
2023-01-03,China,5210,551,507
2023-01-03,India,4435,1783,1888
2023-01-03,Brazil,8914,2133,1708
2023-01-03,Russia,2385,660,742
2023-01-03,France,619,302,312
2023-01-03,United Kingdom,2064,2000,58
2023-01-03,Italy,3810,511,3159
2023-01-03,Spain,1754,1740,14
2023-01-03,Canada,5354,2783,2329
2023-01-03,Germany,4310,4146,150
2023-01-03,Australia,9636,4355,5066
2023-01-03,Japan,3309,2431,549
2023-01-03,South Korea,3992,1860,1745
2023-01-03,Mexico,9343,6547,1299
2023-01-03,Indonesia,8448,7714,540
2023-01-03,Nigeria,8649,27,2415
2023-01-03,South Africa,2580,1490,433
2023-01-03,Argentina,9486,6137,395
2023-01-03,Saudi Arabia,4686,3135,1139
2023-01-04,United States,5537,284,1603
2023-01-04,China,4137,2936,1183
2023-01-04,India,969,678,258
2023-01-04,Brazil,6816,2455,2421
2023-01-04,Russia,4938,4048,681
2023-01-04,France,7792,6935,118
2023-01-04,United Kingdom,3720,1300,409
2023-01-04,Italy,2839,2672,135
2023-01-04,Spain,8543,7796,250
2023-01-04,Canada,1976,1322,53
2023-01-04,Germany,6484,4990,405
2023-01-04,Australia,9084,474,2628
2023-01-04,Japan,5230,2842,511
2023-01-04,South Korea,8690,6596,1107
2023-01-04,Mexico,4911,3164,1132
2023-01-04,Indonesia,9675,4504,634
2023-01-04,Nigeria,3970,2732,815
2023-01-04,South Africa,1858,1796,60
2023-01-04,Argentina,5174,3912,519
2023-01-04,Saudi Arabia,4756,1726,3028
2023-01-05,United States,2828,1933,410
2023-01-05,China,2057,128,930
2023-01-05,India,6915,6251,319
2023-01-05,Brazil,6560,5404,980
2023-01-05,Russia,2488,198,396
2023-01-05,France,3723,2334,485
2023-01-05,United Kingdom,4948,3124,454
2023-01-05,Italy,8576,1521,5894
2023-01-05,Spain,5815,182,3188
2023-01-05,Canada,3286,1090,1711
2023-01-05,Germany,9570,2648,3737
2023-01-05,Australia,9635,104,1547
2023-01-05,Japan,2734,1273,452
2023-01-05,South Korea,8033,5847,436
2023-01-05,Mexico,9327,6035,736
2023-01-05,Indonesia,3147,2329,751
2023-01-05,Nigeria,6216,3350,460
2023-01-05,South Africa,9824,4671,1443
2023-01-05,Argentina,9559,6231,1078
2023-01-05,Saudi Arabia,7364,5836,728
2023-01-06,United States,7892,2117,445
2023-01-06,China,9075,1913,2906
2023-01-06,India,5123,2551,550
2023-01-06,Brazil,8875,2841,144
2023-01-06,Russia,1134,987,147
2023-01-06,France,7267,1188,1309
2023-01-06,United Kingdom,9288,5147,3196
2023-01-06,Italy,1051,708,62
2023-01-06,Spain,1632,638,701
2023-01-06,Canada,2495,1512,688
2023-01-06,Germany,544,104,346
2023-01-06,Australia,4505,1491,2753
2023-01-06,Japan,942,34,674
2023-01-06,South Korea,2139,1803,177
2023-01-06,Mexico,9120,5853,1718
2023-01-06,Indonesia,5502,349,4279
2023-01-06,Nigeria,5209,2844,900
2023-01-06,South Africa,7733,1383,5805
2023-01-06,Argentina,6701,3412,34
2023-01-06,Saudi Arabia,757,665,8
2023-01-07,United States,7986,5852,1851
2023-01-07,China,3306,14,1598
2023-01-07,India,7572,5634,409
2023-01-07,Brazil,785,254,279
2023-01-07,Russia,1521,693,181
2023-01-07,France,8007,5945,175
2023-01-07,United Kingdom,9341,4528,2911
2023-01-07,Italy,5535,4050,191
2023-01-07,Spain,6176,2058,2632
2023-01-07,Canada,8876,7751,625
2023-01-07,Germany,1126,303,79
2023-01-07,Australia,4052,2508,891
2023-01-07,Japan,5181,1836,2284
2023-01-07,South Korea,3540,748,451
2023-01-07,Mexico,3031,382,217
2023-01-07,Indonesia,2511,1252,918
2023-01-07,Nigeria,478,402,19
2023-01-07,South Africa,9021,7100,1715
2023-01-07,Argentina,141,93,44
2023-01-07,Saudi Arabia,1584,1029,125
2023-01-08,United States,3941,2536,1235
2023-01-08,China,6818,2278,2986
2023-01-08,India,6221,2735,2294
2023-01-08,Brazil,2282,1994,156
2023-01-08,Russia,6006,5033,218
2023-01-08,France,4697,716,3248
2023-01-08,United Kingdom,6608,2852,523
2023-01-08,Italy,1091,76,222
2023-01-08,Spain,3658,3542,105
2023-01-08,Canada,2206,319,1875
2023-01-08,Germany,8343,6230,1905
2023-01-08,Australia,5898,4706,593
2023-01-08,Japan,7049,587,5266
2023-01-08,South Korea,5874,5356,512
2023-01-08,Mexico,3496,2946,217
2023-01-08,Indonesia,6791,6423,300
2023-01-08,Nigeria,1548,1395,35
2023-01-08,South Africa,3620,3248,129
2023-01-08,Argentina,9347,8085,697
2023-01-08,Saudi Arabia,9294,4224,1964
2023-01-09,United States,1676,1018,70
2023-01-09,China,1753,1432,59
2023-01-09,India,7251,4784,1061
2023-01-09,Brazil,7451,4163,1057
2023-01-09,Russia,4162,969,1127
2023-01-09,France,8368,3078,2353
2023-01-09,United Kingdom,719,561,149
2023-01-09,Italy,897,809,61
2023-01-09,Spain,8577,7643,22
2023-01-09,Canada,9515,4158,3333
2023-01-09,Germany,2950,2836,78
2023-01-09,Australia,2801,757,1188
2023-01-09,Japan,5620,4113,1496
2023-01-09,South Korea,785,478,157
2023-01-09,Mexico,2744,1581,596
2023-01-09,Indonesia,5138,41,4228
2023-01-09,Nigeria,2839,1005,746
2023-01-09,South Africa,3865,2764,942
2023-01-09,Argentina,3077,676,614
2023-01-09,Saudi Arabia,6120,5622,35
2023-01-10,United States,4031,2578,1450
2023-01-10,China,2640,1717,903
2023-01-10,India,7487,1904,4672
2023-01-10,Brazil,2764,963,1363
2023-01-10,Russia,3196,270,2896
2023-01-10,France,6558,193,4995
2023-01-10,United Kingdom,8387,1075,3004
2023-01-10,Italy,8153,5098,2553
2023-01-10,Spain,6621,1135,881
2023-01-10,Canada,2182,1830,147
2023-01-10,Germany,5277,2145,2558
2023-01-10,Australia,1926,98,177
2023-01-10,Japan,5331,1293,3692
2023-01-10,South Korea,3951,1371,2104
2023-01-10,Mexico,9704,9141,469
2023-01-10,Indonesia,6717,4451,1335
2023-01-10,Nigeria,8813,7879,906
2023-01-10,South Africa,1849,328,553
2023-01-10,Argentina,3698,2384,1314
2023-01-10,Saudi Arabia,7313,6852,459
2023-01-11,United States,4434,253,1405
2023-01-11,China,4248,3794,228
2023-01-11,India,3381,185,1519
2023-01-11,Brazil,9554,8651,766
2023-01-11,Russia,5019,706,1201
2023-01-11,France,5502,815,4484
2023-01-11,United Kingdom,8018,1856,3543
2023-01-11,Italy,3218,1231,1576
2023-01-11,Spain,7486,882,2083
2023-01-11,Canada,3629,1995,649
2023-01-11,Germany,8416,1038,6518
2023-01-11,Australia,3707,3053,45
2023-01-11,Japan,4432,1655,1437
2023-01-11,South Korea,5157,4176,805
2023-01-11,Mexico,1871,1683,74
2023-01-11,Indonesia,1552,991,107
2023-01-11,Nigeria,5966,3832,907
2023-01-11,South Africa,6797,2070,1393
2023-01-11,Argentina,6913,1443,2633
2023-01-11,Saudi Arabia,8286,4954,246
2023-01-12,United States,4975,3762,648
2023-01-12,China,4316,3737,208
2023-01-12,India,5647,3529,1259
2023-01-12,Brazil,1243,1044,92
2023-01-12,Russia,7478,4310,961
2023-01-12,France,3622,252,2822
2023-01-12,United Kingdom,1489,1415,10
2023-01-12,Italy,2950,2830,104
2023-01-12,Spain,8971,8961,3
2023-01-12,Canada,6762,1088,923
2023-01-12,Germany,7075,3994,559
2023-01-12,Australia,5765,1334,763
2023-01-12,Japan,9769,5717,4002
2023-01-12,South Korea,1759,1692,19
2023-01-12,Mexico,3492,1707,908
2023-01-12,Indonesia,3506,607,2290
2023-01-12,Nigeria,3494,1568,1442
2023-01-12,South Africa,5844,403,5337
2023-01-12,Argentina,612,266,234
2023-01-12,Saudi Arabia,3527,2505,649
2023-01-13,United States,6443,131,5044
2023-01-13,China,2074,490,1089
2023-01-13,India,6636,18,730
2023-01-13,Brazil,1136,957,15
2023-01-13,Russia,5979,88,3654
2023-01-13,France,415,162,39
2023-01-13,United Kingdom,2510,1503,726
2023-01-13,Italy,5516,4955,428
2023-01-13,Spain,2605,2463,21
2023-01-13,Canada,4596,773,306
2023-01-13,Germany,4523,3388,803
2023-01-13,Australia,3443,436,2205
2023-01-13,Japan,1445,756,219
2023-01-13,South Korea,2609,829,1384
2023-01-13,Mexico,1492,1477,6
2023-01-13,Indonesia,1524,459,354
2023-01-13,Nigeria,6242,3816,615
2023-01-13,South Africa,3725,1974,1560
2023-01-13,Argentina,1766,1218,266
2023-01-13,Saudi Arabia,6330,4787,573
2023-01-14,United States,313,55,159
2023-01-14,China,8238,1269,1683
2023-01-14,India,8748,1689,4629
2023-01-14,Brazil,6255,3388,415
2023-01-14,Russia,4658,3447,499
2023-01-14,France,7123,5376,1580
2023-01-14,United Kingdom,7553,4268,243
2023-01-14,Italy,8533,3472,5052
2023-01-14,Spain,5261,2094,3076
2023-01-14,Canada,5224,1227,1007
2023-01-14,Germany,7295,3876,2716
2023-01-14,Australia,3607,1090,1030
2023-01-14,Japan,9222,8630,23
2023-01-14,South Korea,176,83,20
2023-01-14,Mexico,785,154,525
2023-01-14,Indonesia,299,245,37
2023-01-14,Nigeria,9007,8063,747
2023-01-14,South Africa,6105,4875,473
2023-01-14,Argentina,5929,4846,648
2023-01-14,Saudi Arabia,8571,6222,2334
2023-01-15,United States,6604,5606,950
2023-01-15,China,1505,65,91
2023-01-15,India,136,16,15
2023-01-15,Brazil,8877,390,274
2023-01-15,Russia,9741,1125,7160
2023-01-15,France,6087,2508,1196
2023-01-15,United Kingdom,9961,8559,727
2023-01-15,Italy,7097,3721,3228
2023-01-15,Spain,6069,2741,269
2023-01-15,Canada,175,95,23
2023-01-15,Germany,3089,57,756
2023-01-15,Australia,7764,5280,1420
2023-01-15,Japan,8987,1910,1616
2023-01-15,South Korea,4532,3910,306
2023-01-15,Mexico,7275,2608,1371
2023-01-15,Indonesia,5121,2072,2563
2023-01-15,Nigeria,1034,764,53
2023-01-15,South Africa,8091,4454,279
2023-01-15,Argentina,3550,3487,40
2023-01-15,Saudi Arabia,8766,2632,4970
2023-01-16,United States,5597,1571,2934
2023-01-16,China,301,269,3
2023-01-16,India,8565,7370,921
2023-01-16,Brazil,7056,3310,1567
2023-01-16,Russia,1241,459,547
2023-01-16,France,8520,6055,2187
2023-01-16,United Kingdom,7567,5218,1275
2023-01-16,Italy,6016,74,2286
2023-01-16,Spain,922,752,146
2023-01-16,Canada,3826,2938,768
2023-01-16,Germany,7342,6030,1202
2023-01-16,Australia,109,5,87
2023-01-16,Japan,3009,1405,800
2023-01-16,South Korea,5347,604,3636
2023-01-16,Mexico,1533,1489,26
2023-01-16,Indonesia,4761,1997,2728
2023-01-16,Nigeria,9402,7791,1232
2023-01-16,South Africa,976,575,43
2023-01-16,Argentina,8635,4388,883
2023-01-16,Saudi Arabia,8290,4322,681
2023-01-17,United States,5998,2944,1985
2023-01-17,China,5887,2104,3013
2023-01-17,India,6542,5624,594
2023-01-17,Brazil,9329,608,1930
2023-01-17,Russia,6937,1815,779
2023-01-17,France,7425,2038,3605
2023-01-17,United Kingdom,6122,4585,1486
2023-01-17,Italy,5789,5511,68
2023-01-17,Spain,9999,9156,44
2023-01-17,Canada,8326,2072,4569
2023-01-17,Germany,8394,5796,1422
2023-01-17,Australia,3604,1367,1063
2023-01-17,Japan,4816,1665,107
2023-01-17,South Korea,1235,753,396
2023-01-17,Mexico,3255,1140,752
2023-01-17,Indonesia,1121,611,57
2023-01-17,Nigeria,6990,5243,1083
2023-01-17,South Africa,7029,6584,316
2023-01-17,Argentina,7463,2021,5236
2023-01-17,Saudi Arabia,8805,2457,536
2023-01-18,United States,6874,2558,1644
2023-01-18,China,6797,312,4532
2023-01-18,India,1191,1014,67
2023-01-18,Brazil,783,174,545
2023-01-18,Russia,8105,383,1793
2023-01-18,France,323,191,37
2023-01-18,United Kingdom,3909,3789,75
2023-01-18,Italy,6272,5978,283
2023-01-18,Spain,3862,738,1980
2023-01-18,Canada,9791,3588,527
2023-01-18,Germany,6318,3377,1070
2023-01-18,Australia,6532,3354,2758
2023-01-18,Japan,9056,691,4257
2023-01-18,South Korea,2759,2389,265
2023-01-18,Mexico,8458,7908,80
2023-01-18,Indonesia,4666,1801,2554
2023-01-18,Nigeria,8177,1627,2845
2023-01-18,South Africa,8698,408,3835
2023-01-18,Argentina,5728,4922,405
2023-01-18,Saudi Arabia,8193,5468,2255
2023-01-19,United States,4750,3492,1038
2023-01-19,China,1806,170,8
2023-01-19,India,2794,550,1506
2023-01-19,Brazil,3362,2827,392
2023-01-19,Russia,7702,589,3849
2023-01-19,France,9010,1026,5852
2023-01-19,United Kingdom,4359,651,1668
2023-01-19,Italy,4678,1721,2906
2023-01-19,Spain,8446,3600,3668
2023-01-19,Canada,1726,332,122
2023-01-19,Germany,4080,266,1660
2023-01-19,Australia,7508,7059,99
2023-01-19,Japan,2445,436,641
2023-01-19,South Korea,2961,43,1887
2023-01-19,Mexico,3391,3166,74
2023-01-19,Indonesia,4263,1250,535
2023-01-19,Nigeria,3335,1008,1835
2023-01-19,South Africa,1796,83,374
2023-01-19,Argentina,3983,1783,74
2023-01-19,Saudi Arabia,6904,273,342
2023-01-20,United States,106,12,34
2023-01-20,China,4882,3943,721
2023-01-20,India,2928,1993,360
2023-01-20,Brazil,9719,8320,253
2023-01-20,Russia,6239,818,1884
2023-01-20,France,6202,5213,660
2023-01-20,United Kingdom,499,79,134
2023-01-20,Italy,668,15,513
2023-01-20,Spain,1120,644,380
2023-01-20,Canada,9079,6411,2621
2023-01-20,Germany,3573,2165,798
2023-01-20,Australia,6301,312,4554
2023-01-20,Japan,7585,3844,1340
2023-01-20,South Korea,1124,207,627
2023-01-20,Mexico,7797,5333,73
2023-01-20,Indonesia,5088,2572,1400
2023-01-20,Nigeria,3946,2861,415
